"AgeGroup","2014","2015","2016","2017","2018","2019","2020","2021"
NA,8,1,0,6,10,4,11,13
"Not Recorded",230,111,112,107,92,140,125,121
"65+",631,701,664,730,787,906,847,1001
"55 to 64",759,848,1020,920,1083,1134,1142,1391
"45 to 54",1256,1320,1322,1455,1475,1541,1576,1639
"35 to 44",1260,1498,1612,1811,1919,2074,2279,2725
"18 to 24",1476,1572,1909,2065,2160,2219,2230,2452
"25 to 34",1781,2114,2482,2729,3072,3154,3508,4046
NA,3220,3627,3967,4190,4535,4747,4861,5756
NA,4165,4536,5154,5621,6043,6417,6835,7606
"Total",7393,8164,9121,9817,10588,11168,11707,13375
